price,log_price,bedrooms,bathrooms,guests_included,property_type,host_is_superhost,security_deposit,cleaning_fee,room_type,neighbourhood_cleansed,number_of_reviews,review_scores_rating,minimum_nights,accommodates
250,5.521460917862246,2,1.5,1,House,f,0,35,Entire home/apt,Roslindale,0,NA,2,4
65,4.174387269895637,1,1,0,Apartment,f,95,10,Private room,Roslindale,36,94,2,2
65,4.174387269895637,1,1,1,Apartment,t,0,0,Private room,Roslindale,41,98,3,2
75,4.31748811353631,1,1,2,House,f,100,50,Private room,Roslindale,1,100,1,4
79,4.3694478524670215,1,1.5,1,House,t,0,15,Private room,Roslindale,29,99,2,2
75,4.31748811353631,1,1,1,Condominium,t,0,30,Private room,Roslindale,8,100,2,2
100,4.605170185988092,1,1,1,Apartment,f,0,0,Entire home/apt,Roslindale,57,90,1,3
75,4.31748811353631,1,2,1,House,t,0,10,Private room,Roslindale,67,96,1,2
58,4.060443010546419,1,1,2,Condominium,t,0,0,Private room,Roslindale,65,96,2,2
229,5.43372200355424,2,1,4,Apartment,t,200,50,Entire home/apt,Roslindale,33,94,4,5
60,4.0943445622221,1,1,1,House,f,0,30,Private room,Roslindale,1,80,1,2
57,4.04305126783455,1,1,1,House,t,0,40,Private room,Roslindale,17,94,1,1
93,4.532599493153256,2,1,1,Condominium,f,0,40,Entire home/apt,Roslindale,1,100,1,4
150,5.0106352940962555,2,1,5,Apartment,f,0,50,Entire home/apt,Roslindale,12,97,2,5
145,4.976733742420574,2,1.5,2,House,f,500,150,Entire home/apt,Roslindale,7,91,3,2
60,4.0943445622221,1,0,1,Apartment,f,0,0,Private room,Roslindale,70,96,1,1
165,5.10594547390058,1,1,3,House,f,0,50,Private room,Roslindale,1,100,3,4
75,4.31748811353631,1,1,1,Condominium,f,0,20,Private room,Roslindale,1,100,1,2
49,3.8918202981106265,1,1,1,House,t,0,0,Private room,Roslindale,0,NA,5,1
49,3.8918202981106265,1,1,1,House,t,0,0,Private room,Roslindale,4,95,5,2
40,3.6888794541139363,1,2.5,1,Other,t,0,0,Private room,Roslindale,31,99,2,1
120,4.787491742782046,0,1,3,House,f,150,50,Entire home/apt,Roslindale,16,98,2,3
70,4.248495242049359,1,0,1,Apartment,f,0,0,Private room,Roslindale,38,98,1,2
150,5.0106352940962555,3,1,6,House,f,150,100,Entire home/apt,Roslindale,21,88,3,8
175,5.1647859739235145,4,3.5,1,House,f,500,100,Entire home/apt,Roslindale,1,100,14,5
95,4.553876891600541,1,1.5,1,House,t,0,10,Private room,Roslindale,40,96,1,2
90,4.499809670330265,1,1,1,Apartment,f,0,0,Private room,Roslindale,43,95,1,2
95,4.553876891600541,1,1,1,House,t,0,15,Private room,Roslindale,33,99,2,2
100,4.605170185988092,1,1,1,Apartment,f,0,0,Private room,Roslindale,11,90,1,2
67,4.204692619390966,1,1,1,House,t,0,40,Private room,Roslindale,20,96,1,2
55,4.007333185232471,1,1,1,Condominium,f,0,0,Private room,Roslindale,30,92,1,1
200,5.298317366548036,2,1,4,Apartment,f,200,85,Entire home/apt,Roslindale,2,100,2,6
150,5.0106352940962555,1,1,1,Apartment,f,0,0,Entire home/apt,Roslindale,0,NA,1,4
49,3.8918202981106265,1,1,1,House,t,0,0,Private room,Roslindale,10,98,5,1
75,4.31748811353631,1,1.5,1,House,f,0,0,Private room,Roslindale,17,96,1,1
110,4.700480365792417,1,1,2,House,f,0,25,Entire home/apt,Roslindale,55,87,3,4
115,4.74493212836325,1,1,1,Apartment,f,200,35,Private room,Roslindale,0,NA,1,2
125,4.8283137373023015,3,1,1,House,f,250,50,Entire home/apt,Roslindale,24,91,1,16
